NAME,MANUF,TYPE,CALORIES,PROTEIN,FAT,SODIUM,FIBER,CARBO,SUGARS,POTASS,VITAMINS,SHELF,WEIGHT,CUPS,RATING,config1,config2,config3
100%_Bran                             ,N  ,C   ,70,4,1,130,10.0,5.0,6,280,25,3,1.0,0.33,68.402973,2,1,0
100%_Natural_Bran                     ,Q  ,C   ,120,3,5,15,2.0,8.0,8,135,0,3,1.0,1.0,33.983678999999995,1,2,1
All-Bran                              ,K  ,C   ,70,4,1,260,9.0,7.0,5,320,25,3,1.0,0.33,59.425505,2,1,0
All-Bran_with_Extra_Fiber             ,K  ,C   ,50,4,0,140,14.0,8.0,0,330,25,3,1.0,0.5,93.704912,2,1,0
Almond_Delight                        ,R  ,C   ,110,2,2,200,1.0,14.0,8,-1,25,3,1.0,0.75,34.384843,0,3,2
Apple_Cinnamon_Cheerios               ,G  ,C   ,110,2,2,180,1.5,10.5,10,70,25,1,1.0,0.75,29.509541,0,0,2
Apple_Jacks                           ,K  ,C   ,110,2,0,125,1.0,11.0,14,30,25,2,1.0,1.0,33.174094000000004,0,4,2
Basic_4                               ,G  ,C   ,130,3,2,210,2.0,18.0,8,100,25,3,1.33,0.75,37.038562,3,0,2
Bran_Chex                             ,R  ,C   ,90,2,1,200,4.0,15.0,6,125,25,1,1.0,0.67,49.120253000000005,3,0,2
Bran_Flakes                           ,P  ,C   ,90,3,0,210,5.0,13.0,5,190,25,3,1.0,0.67,53.313813,2,1,0
Cap'n'Crunch                          ,Q  ,C   ,120,1,2,220,0.0,12.0,12,35,25,2,1.0,0.75,18.042851000000002,4,3,2
Cheerios                              ,G  ,C   ,110,6,2,290,2.0,17.0,1,105,25,1,1.0,1.25,50.764998999999996,4,3,2
Cinnamon_Toast_Crunch                 ,G  ,C   ,120,1,3,210,0.0,13.0,9,45,25,2,1.0,0.75,19.823573,0,3,2
Clusters                              ,G  ,C   ,110,3,2,140,2.0,13.0,7,105,25,3,1.0,0.5,40.400208,3,0,2
Cocoa_Puffs                           ,G  ,C   ,110,1,1,180,0.0,12.0,13,55,25,2,1.0,1.0,22.736446,0,0,2
Corn_Chex                             ,R  ,C   ,110,2,0,280,0.0,22.0,3,25,25,1,1.0,1.0,41.445019,4,3,2
Corn_Flakes                           ,K  ,C   ,100,2,0,290,1.0,21.0,2,35,25,1,1.0,1.0,45.863324,4,3,2
Corn_Pops                             ,K  ,C   ,110,1,0,90,1.0,13.0,12,20,25,2,1.0,1.0,35.782790999999996,0,4,1
Count_Chocula                         ,G  ,C   ,110,1,1,180,0.0,12.0,13,65,25,2,1.0,1.0,22.396513,0,0,2
Cracklin'_Oat_Bran                    ,K  ,C   ,110,3,3,140,4.0,10.0,7,160,25,3,1.0,0.5,40.448772,3,0,0
Cream_of_Wheat_(Quick)                ,N  ,H   ,100,3,0,80,1.0,21.0,0,-1,0,2,1.0,1.0,64.533816,0,4,1
Crispix                               ,K  ,C   ,110,2,0,220,1.0,21.0,3,30,25,3,1.0,1.0,46.895644,4,3,2
Crispy_Wheat_&_Raisins                ,G  ,C   ,100,2,1,140,2.0,11.0,10,120,25,3,1.0,0.75,36.176196000000004,3,0,2
Double_Chex                           ,R  ,C   ,100,2,0,190,1.0,18.0,5,80,25,3,1.0,0.75,44.330856,0,0,2
Froot_Loops                           ,K  ,C   ,110,2,1,125,1.0,11.0,13,30,25,2,1.0,1.0,32.207582,0,4,2
Frosted_Flakes                        ,K  ,C   ,110,1,0,200,1.0,14.0,11,25,25,1,1.0,0.75,31.435972999999997,0,3,2
Frosted_Mini-Wheats                   ,K  ,C   ,100,3,0,0,3.0,14.0,7,100,25,2,1.0,0.8,58.345141000000005,1,2,1
"Fruit_&_Fibre_Dates,_Walnuts,_and_Oats",P  ,C   ,120,3,2,160,5.0,12.0,10,200,25,3,1.25,0.67,40.917047,2,1,0
Fruitful_Bran                         ,K  ,C   ,120,3,0,240,5.0,14.0,12,190,25,3,1.33,0.67,41.015492,2,1,0
Fruity_Pebbles                        ,P  ,C   ,110,1,1,135,0.0,13.0,12,25,25,2,1.0,0.75,28.025765000000003,0,4,2
Golden_Crisp                          ,P  ,C   ,100,2,0,45,0.0,11.0,15,40,25,1,1.0,0.88,35.252444,1,4,1
Golden_Grahams                        ,G  ,C   ,110,1,1,280,0.0,15.0,9,45,25,2,1.0,0.75,23.804043,4,3,2
Grape_Nuts_Flakes                     ,P  ,C   ,100,3,1,140,3.0,15.0,5,85,25,3,1.0,0.88,52.076896999999995,3,0,2
Grape-Nuts                            ,P  ,C   ,110,3,0,170,3.0,17.0,3,90,25,3,1.0,0.25,53.37100699999999,3,0,2
Great_Grains_Pecan                    ,P  ,C   ,120,3,3,75,3.0,13.0,4,100,25,3,1.0,0.33,45.811716,1,4,1
Honey_Graham_Ohs                      ,Q  ,C   ,120,1,2,220,1.0,12.0,11,45,25,2,1.0,1.0,21.871292,4,3,2
Honey_Nut_Cheerios                    ,G  ,C   ,110,3,1,250,1.5,11.5,10,90,25,1,1.0,0.75,31.072217,4,3,2
Honey-comb                            ,P  ,C   ,110,1,0,180,0.0,14.0,11,35,25,1,1.0,1.33,28.742414,0,3,2
Just_Right_Crunchy__Nuggets           ,K  ,C   ,110,2,1,170,1.0,17.0,6,60,100,3,1.0,1.0,36.523683,0,0,2
Just_Right_Fruit_&_Nut                ,K  ,C   ,140,3,1,170,2.0,20.0,9,95,100,3,1.3,0.75,36.471512,3,0,2
Kix                                   ,G  ,C   ,110,2,1,260,0.0,21.0,3,40,25,2,1.0,1.5,39.241114,4,3,2
Life                                  ,Q  ,C   ,100,4,2,150,2.0,12.0,6,95,25,2,1.0,0.67,45.328074,3,0,2
Lucky_Charms                          ,G  ,C   ,110,2,1,180,0.0,12.0,12,55,25,2,1.0,1.0,26.734515000000002,0,0,2
Maypo                                 ,A  ,H   ,100,4,1,0,0.0,16.0,3,95,25,2,1.0,1.0,54.850917,1,2,1
"Muesli_Raisins,_Dates,_&_Almonds      ",R  ,C   ,150,4,3,95,3.0,16.0,11,170,25,3,1.0,1.0,37.136863,3,0,0
"Muesli_Raisins,_Peaches,_&_Pecans     ",R  ,C   ,150,4,3,150,3.0,16.0,11,170,25,3,1.0,1.0,34.139765000000004,3,0,0
Mueslix_Crispy_Blend                  ,K  ,C   ,160,3,2,150,3.0,17.0,13,160,25,3,1.5,0.67,30.313351,3,0,0
Multi-Grain_Cheerios                  ,G  ,C   ,100,2,1,220,2.0,15.0,6,90,25,1,1.0,1.0,40.105965000000005,4,3,2
Nut&Honey_Crunch                      ,K  ,C   ,120,2,1,190,0.0,15.0,9,40,25,2,1.0,0.67,29.924284999999998,0,3,2
Nutri-Grain_Almond-Raisin             ,K  ,C   ,140,3,2,220,3.0,21.0,7,130,25,3,1.33,0.67,40.69232,3,0,2
Nutri-grain_Wheat                     ,K  ,C   ,90,3,0,170,3.0,18.0,2,90,25,3,1.0,1.0,59.642837,3,0,2
Oatmeal_Raisin_Crisp                  ,G  ,C   ,130,3,2,170,1.5,13.5,10,120,25,3,1.25,0.5,30.450843,3,0,2
Post_Nat._Raisin_Bran                 ,P  ,C   ,120,3,1,200,6.0,11.0,14,260,25,3,1.33,0.67,37.840594,2,1,0
Product_19                            ,K  ,C   ,100,3,0,320,1.0,20.0,3,45,100,3,1.0,1.0,41.50354,4,3,2
Puffed_Rice                           ,Q  ,C   ,50,1,0,0,0.0,13.0,0,15,0,3,0.5,1.0,60.756112,1,2,1
Puffed_Wheat                          ,Q  ,C   ,50,2,0,0,1.0,10.0,0,50,0,3,0.5,1.0,63.005644999999994,1,2,1
Quaker_Oat_Squares                    ,Q  ,C   ,100,4,1,135,2.0,14.0,6,110,25,3,1.0,0.5,49.511874,3,0,2
Quaker_Oatmeal                        ,Q  ,H   ,100,5,2,0,2.7,-1.0,-1,110,0,1,1.0,0.67,50.828392,1,2,1
Raisin_Bran                           ,K  ,C   ,120,3,1,210,5.0,14.0,12,240,25,2,1.33,0.75,39.259197,2,1,0
Raisin_Nut_Bran                       ,G  ,C   ,100,3,2,140,2.5,10.5,8,140,25,3,1.0,0.5,39.7034,3,0,0
Raisin_Squares                        ,K  ,C   ,90,2,0,0,2.0,15.0,6,110,25,3,1.0,0.5,55.333142,1,2,1
Rice_Chex                             ,R  ,C   ,110,1,0,240,0.0,23.0,2,30,25,1,1.0,1.13,41.998933,4,3,2
Rice_Krispies                         ,K  ,C   ,110,2,0,290,0.0,22.0,3,35,25,1,1.0,1.0,40.560159000000006,4,3,2
Shredded_Wheat                        ,N  ,C   ,80,2,0,0,3.0,16.0,0,95,0,1,0.83,1.0,68.235885,1,2,1
Shredded_Wheat_'n'Bran                ,N  ,C   ,90,3,0,0,4.0,19.0,0,140,0,1,1.0,0.67,74.472949,1,2,1
Shredded_Wheat_spoon_size             ,N  ,C   ,90,3,0,0,3.0,20.0,0,120,0,1,1.0,0.67,72.801787,1,2,1
Smacks                                ,K  ,C   ,110,2,1,70,1.0,9.0,15,40,25,2,1.0,0.75,31.230054,1,4,1
Special_K                             ,K  ,C   ,110,6,0,230,1.0,16.0,3,55,25,1,1.0,1.0,53.131324,4,3,2
Strawberry_Fruit_Wheats               ,N  ,C   ,90,2,0,15,3.0,15.0,5,90,25,2,1.0,1.0,59.36399300000001,1,2,1
Total_Corn_Flakes                     ,G  ,C   ,110,2,1,200,0.0,21.0,3,35,100,3,1.0,1.0,38.839746000000005,0,3,2
Total_Raisin_Bran                     ,G  ,C   ,140,3,1,190,4.0,15.0,14,230,100,3,1.5,1.0,28.592785,2,1,0
Total_Whole_Grain                     ,G  ,C   ,100,3,1,200,3.0,16.0,3,110,100,3,1.0,1.0,46.658844,3,0,2
Triples                               ,G  ,C   ,110,2,1,250,0.0,21.0,3,60,25,3,1.0,0.75,39.106173999999996,4,3,2
Trix                                  ,G  ,C   ,110,1,1,140,0.0,13.0,12,25,25,2,1.0,1.0,27.753301,0,4,2
Wheat_Chex                            ,R  ,C   ,100,3,1,230,3.0,17.0,3,115,25,1,1.0,0.67,49.787445,4,0,2
Wheaties                              ,G  ,C   ,100,3,1,200,3.0,17.0,3,110,25,1,1.0,1.0,51.592193,3,0,2
Wheaties_Honey_Gold                   ,G  ,C   ,110,2,1,200,1.0,16.0,8,60,25,1,1.0,0.75,36.187559,0,3,2
